,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
11636,8.862,0.121,2.766,1.901,0.313,3.954
11637,7.933,0.155,2.316,1.609,0.321,3.751
11638,7.117,0.156,1.799,1.5,0.338,3.562
11639,7.424,0.154,2.267,1.41,0.394,3.48
11640,6.649,0.157,1.795,1.205,0.396,3.377
11641,6.184,0.164,1.276,1.216,0.313,3.429
11642,6.469,0.192,1.474,1.228,0.374,3.461
11643,6.042,0.208,1.09,1.164,0.382,3.472
11644,6.002,0.201,1.103,1.124,0.403,3.463
11645,5.34,0.195,0.619,1.039,0.328,3.397
11646,4.858,0.211,0.544,0.824,0.402,3.189
11647,5.058,0.207,0.719,0.821,0.44,3.216
11648,4.94,0.206,0.715,0.605,0.44,3.319
13358,12.005,0.286,8.15,0.944,0.057,2.585
13359,11.356,0.257,7.781,0.911,0.052,2.369
13360,11.083,0.268,7.768,1.062,0.046,1.954
13361,11.442,0.274,7.694,1.148,0.049,2.292
13362,11.144,0.258,7.527,0.976,0.054,2.343
13366,12.211,0.307,8.203,1.275,0.053,2.386
13369,10.803,0.193,7.509,0.899,0.025,2.183
13379,9.287,0.223,5.859,0.66,0.079,2.485
13380,6.949,0.015,3.969,0.594,0.066,2.322
13381,7.842,0.0,4.861,0.668,0.087,2.248
13382,7.776,0.022,5.313,0.499,0.087,1.877
14417,11.219,0.151,3.526,3.783,45.088,3.487
14418,10.491,0.127,3.332,3.732,35.502,3.076
14419,9.381,0.107,2.923,3.515,29.082,2.641
14420,9.169,0.102,2.925,3.404,28.322,2.538
14421,9.061,0.086,2.803,3.523,24.694,2.459
14422,8.615,0.086,2.566,3.42,22.756,2.358
14423,8.576,0.087,2.453,3.549,20.92,2.307
14424,8.507,0.089,2.391,3.561,21.438,2.28
14425,8.486,0.096,2.513,3.556,22.289,2.13
14426,8.743,0.098,2.64,3.632,22.158,2.182
14427,8.659,0.105,2.554,3.618,21.984,2.157
14428,8.891,0.113,2.605,3.793,23.643,2.152
14429,8.987,0.125,2.576,3.857,24.891,2.178
14430,9.045,0.133,2.559,3.861,25.633,2.232
14431,9.366,0.145,2.765,3.889,26.992,2.304
14432,9.351,0.16,2.707,3.918,27.599,2.264
14433,9.378,0.145,2.753,3.927,27.083,2.304
14434,8.632,0.112,2.478,3.603,21.068,2.208
14435,9.06,0.124,2.527,3.923,23.817,2.215
14436,9.134,0.137,2.609,3.882,25.028,2.219
14437,9.191,0.137,2.76,3.779,25.522,2.225
14438,8.919,0.142,2.616,3.666,25.458,2.218
14439,8.588,0.14,2.377,3.534,25.581,2.294
14440,8.399,0.127,2.309,3.383,24.917,2.359
14441,8.335,0.119,2.152,3.475,23.292,2.362
14442,8.352,0.12,2.018,3.562,23.774,2.409
14443,8.501,0.119,2.057,3.723,25.244,2.328
14444,8.384,0.121,1.985,3.619,24.398,2.345
14445,7.949,0.122,1.854,3.502,23.506,2.175
14446,8.321,0.13,1.91,3.782,24.15,2.196
14447,7.887,0.132,1.668,3.541,23.955,2.241
14690,11.427,0.164,3.384,4.169,41.632,3.414
14691,10.593,0.134,3.269,4.046,32.49,2.907
14692,9.252,0.106,2.816,3.749,25.426,2.385
14693,9.026,0.1,2.875,3.579,24.337,2.275
14694,8.815,0.08,2.761,3.633,20.563,2.157
14695,8.367,0.079,2.545,3.487,19.328,2.071
14696,8.3,0.08,2.409,3.614,17.046,2.02
14697,8.249,0.083,2.399,3.576,17.697,2.001
14698,8.199,0.093,2.527,3.552,18.845,1.829
14699,8.489,0.097,2.65,3.651,18.87,1.892
14700,8.466,0.105,2.596,3.65,18.73,1.874
14701,8.719,0.117,2.614,3.867,19.417,1.876
14702,8.842,0.132,2.605,3.939,20.405,1.895
14703,8.943,0.142,2.586,3.978,21.145,1.954
14704,9.373,0.157,2.795,4.068,22.464,2.061
14705,9.407,0.176,2.771,4.103,23.09,2.019
14706,9.523,0.161,2.884,4.096,22.779,2.105
14707,8.816,0.126,2.651,3.757,17.72,2.025
14708,9.302,0.141,2.7,4.111,20.248,2.041
14709,9.596,0.156,2.813,4.213,21.31,2.084
14710,9.613,0.159,2.88,4.132,21.949,2.105
14711,9.328,0.164,2.726,3.999,21.927,2.12
14712,9.088,0.161,2.541,3.894,21.861,2.218
